source,target,label
physishian,medical doctor,PT
channel manager marketing,channel marketing manager,PT
"vice president, risk",vice president of risk,PT
governamenat,civil servant,PT
golf pro,golf professional,PT
"head, quality assurance",head of quality assurance,PT
mapeh teacher,physical education teacher,PT
information procurement technology,information technology procurement,PT
estate paralegal real,real estate paralegal,PT
manager production service,production services manager,PT
artist relations,artist relations specialist,PT
database administrator team lead,database administrator team lead,PT
profeesor of physics,professor of physics,PT
consultant independent sales,independent sales consultant,PT
enumirator,enumerator,PT
"manager, internet development",internet development manager,PT
qaqc inspector,quality assurance quality control inspector,PT
economologist,entomologist,PT
application engineer test,application test engineer,PT
developer front office,front office developer,PT
"director, audience development",director of audience development,PT
finance operations president senior vice,senior vice president finance operations,PT
consumer family science teacher,family and consumer science teacher,PT
financial representative senior services,senior financial services representative,PT
surgical intensive care bsn,surgical intensive care nurse,PT
360 excavator driver,excavator operator,PT
ground worker,groundworker,PT
suprrvisor,supervisor,PT
suprvisior,supervisor,PT
study,student,PT
advisodr,advisor,PT
empolyee,employee,PT
proferssial,professional,PT
recruiting,recruitment specialist,PT
fellow senior,senior researcher,PT
leasing,leasing specialist,PT
marketing research,marketing research specialist,PT
"manager, system integration",system integration manager,PT
executive director development,executive director of development,PT
haairdresser,hairdresser,PT
hairdreesser,hairdresser,PT
"director, learning & organizational development",director of learning and development,PT
director financial group,group finance director,PT
qaqc engineer,quality assurance quality control engineer,PT
director reimbursement,director of reimbursement,PT
cunstructer,constructor,PT
"manager, trade finance",trade finance manager,PT
client manager private,private client manager,PT
"director, content development",director of content development,PT
administration manager office,office administration manager,PT
assistant executive manager project,executive assistant project manager,PT
head international relations,head of international relations,PT
massague,massage practitioner,PT
director broadcasting,director of broadcasting,PT
customer lead support team,customer support team lead,PT
finance head operations,head finance operations,PT
"manager, graphic production",graphic production manager,PT
college administrator,academic administrator,PT
information medical specialist,medical information specialist,PT
ip administrator,intellectual property administrator,PT
engineering intern summer,summer engineering intern,PT
visual information,visual information specialist,PT
assistant director resident,assistant resident director,PT
analyst investment research,investment research analyst,PT
manager presales project,presales project manager,PT
director franchising,director of franchising,PT
"manager, internet content",internet content manager,PT
administrative assistant executive manager office,executive administrative assistant office manager,PT
electric site engneer,electrical site engineer,PT
junior planner strategic,junior strategic planner,PT
respiratory nurse,respiratory nurse,PT
robotic technologist,robotics technician,PT
accounts exutive,account executive,PT
scretarey,secretary,PT
secretarty,secretary,PT
jobless,unemployed,PT
divisional managar,division manager,PT
porfessional,professional,PT
tellerq,teller,PT
testing,testing specialist,PT
ambassaor,ambassador,PT
